"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 14 13:19:23 UTC 2026","Mon Sep 14 13:19:24 UTC 2026","1042","","org.example.RegisztracioTest","","org.example.RegisztracioTest","adatkezelesLinkLathatoEsHelyesreMutat","adatkezelesLinkLathatoEsHelyesreMutat()",""
"passed","Mon Sep 14 13:20:11 UTC 2026","Mon Sep 14 13:20:13 UTC 2026","1535","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","emailMezoLathatoAzOldalon","MT-LOGIN-002 · LOGIN-REQ-002 – az e-mail mező látható",""
"passed","Mon Sep 14 13:19:52 UTC 2026","Mon Sep 14 13:19:53 UTC 2026","1570","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","adatkezelesLinkLathato","MT-LOGIN-006 · LOGIN-REQ-006 – az adatkezelési hivatkozás látható",""
"passed","Mon Sep 14 13:19:22 UTC 2026","Mon Sep 14 13:19:23 UTC 2026","984","","org.example.RegisztracioTest","","org.example.RegisztracioTest","fiokLetrehozasaGombLathato","fiokLetrehozasaGombLathato()",""
"passed","Mon Sep 14 13:19:56 UTC 2026","Mon Sep 14 13:19:58 UTC 2026","1802","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","elfelejtettJelszoLinkreKattintvaMegnyilikAzOldal","MT-LOGIN-001 · LOGIN-REQ-001 – az Elfelejtett jelszó linkre kattintva megnyílik az oldal",""
"passed","Mon Sep 14 13:20:36 UTC 2026","Mon Sep 14 13:20:41 UTC 2026","4427","","org.example.VezerlopultTest","","org.example.VezerlopultTest","jogtarKartyaNavigal","MT-DASH-002 · DASH-REQ-002 – a Jogtár kártya navigál",""
"passed","Mon Sep 14 13:20:00 UTC 2026","Mon Sep 14 13:20:01 UTC 2026","1597","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","adatkezelesiJelolonegyzetKijelolheto","MT-LOGIN-001 · LOGIN-REQ-001 – az adatkezelési jelölőnégyzet kijelölhető",""
"passed","Mon Sep 14 13:19:32 UTC 2026","Mon Sep 14 13:19:45 UTC 2026","12946","","org.example.UjRendszeradatFelvitelTest","","org.example.UjRendszeradatFelvitelTest","energetikaiRendszertLetrehozEsMent","MT-CREATE-006/007 · CREATE-REQ-006/007 – energetikai MI-rendszer létrehozása és mentése",""
"passed","Mon Sep 14 13:19:45 UTC 2026","Mon Sep 14 13:19:52 UTC 2026","6810","","org.example.RendszerListaTest","","org.example.RendszerListaTest","lapozasMax5PerOldal","MT-SYSTEM-003 · SYSTEM-REQ-003 – lapozás: oldalanként max 5, nem duplikál/hagy ki",""
"passed","Mon Sep 14 13:19:26 UTC 2026","Mon Sep 14 13:19:27 UTC 2026","963","","org.example.RegisztracioTest","","org.example.RegisztracioTest","emailMezoLathato","emailMezoLathato()",""
"passed","Mon Sep 14 13:20:41 UTC 2026","Mon Sep 14 13:20:45 UTC 2026","4908","","org.example.VezerlopultTest","","org.example.VezerlopultTest","tagokKartyaNavigal","MT-DASH-002 · DASH-REQ-002 – a Tagok és szerepkörök kártya navigál",""
"passed","Mon Sep 14 13:19:06 UTC 2026","Mon Sep 14 13:19:10 UTC 2026","4308","","org.example.KijelentkezesTest","","org.example.KijelentkezesTest","kijelentkezesVisszavisz","SESSION-REQ-001 – kijelentkezés visszavisz a belépő oldalra",""
"passed","Mon Sep 14 13:19:31 UTC 2026","Mon Sep 14 13:19:32 UTC 2026","1316","","org.example.RegisztracioTest","","org.example.RegisztracioTest","adatkezelesNelkulHibatAd","adatkezelesNelkulHibatAd()",""
"passed","Mon Sep 14 13:19:17 UTC 2026","Mon Sep 14 13:19:20 UTC 2026","2503","","org.example.RegisztracioAdminLinkkelTest","","org.example.RegisztracioAdminLinkkelTest","regisztracioAdminLinkkel","MT-AUTH-006 – regisztráció + megerősítés admin linkkel (e-mail nélkül, stabil)",""
"passed","Mon Sep 14 13:20:24 UTC 2026","Mon Sep 14 13:20:33 UTC 2026","9126","","org.example.RendszerModositasTest","","org.example.RendszerModositasTest","rendszerNevModositas","MT-EDIT-001 · EDIT-REQ-001 – rendszer nevének módosítása és a változás valódi ellenőrzése",""
"passed","Mon Sep 14 13:19:53 UTC 2026","Mon Sep 14 13:19:55 UTC 2026","1522","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","belepesGombLathato","MT-LOGIN-001 · LOGIN-REQ-001 – a Belépés gomb látható",""
"passed","Mon Sep 14 13:19:29 UTC 2026","Mon Sep 14 13:19:30 UTC 2026","1063","","org.example.RegisztracioTest","","org.example.RegisztracioTest","uresMezokHibatAdnak","uresMezokHibatAdnak()",""
"passed","Mon Sep 14 13:19:30 UTC 2026","Mon Sep 14 13:19:31 UTC 2026","1024","","org.example.RegisztracioTest","","org.example.RegisztracioTest","teljesNevMezoLathato","teljesNevMezoLathato()",""
"passed","Mon Sep 14 13:20:14 UTC 2026","Mon Sep 14 13:20:16 UTC 2026","1586","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","adatkezelesiJelolonegyzetLathato","MT-LOGIN-001 · LOGIN-REQ-001 – az adatkezelési jelölőnégyzet látható",""
"passed","Mon Sep 14 13:20:33 UTC 2026","Mon Sep 14 13:20:36 UTC 2026","3044","","org.example.VezerlopultTest","","org.example.VezerlopultTest","aNegyKartyaLathato","MT-DASH-001 · DASH-REQ-001 – a négy fő modul (kártya) látható",""
"passed","Mon Sep 14 13:20:01 UTC 2026","Mon Sep 14 13:20:03 UTC 2026","1718","","Belépő oldal – Bejelentkezes és Adatkezelési nyilatkozat","","org.example.BejelentkezesTest","adatkezelesLinkreKattintvaMegnyilikAzOldal","MT-LOGIN-006 · LOGIN-REQ-006 · PRIVACY-REQ-001 – az adatkezelési oldal megnyílik",""
